name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_popularity,duration_minutes,z1,z2,artist_top_ten
On My Wave,Keiynan Lonsdale,Rainbow Boy,01iaXaqUjZVsdLp2yF3OQ9,0.486,0.773,6,-4.199,1,0.245,0.132,7.35e-06,0.084,0.439,120.145,4,44,4.1177,-2.071649712930319,-0.07566873343743716,Other
"96,000",Anthony Ramos,In The Heights (Original Motion Picture Soundtrack),0CpE5SeQkHQPYiWX0psxf4,0.479,0.614,7,-7.001,1,0.336,0.013,0.0,0.162,0.406,171.93,4,72,5.764516666666666,0.723408776697404,0.16917651505481557,Other
Pessimist,Greta Isaac,Pessimist,0IkBQt9vSLLwoX0knkusSl,0.539,0.524,4,-8.279,1,0.236,0.0473,0.000349,0.0806,0.729,174.047,3,39,3.20045,1.9950210557773194,0.34446206577096344,Other
Girl Next Door,Alessia Cara,The Pains Of Growing,0JjJGeUbFqCRe4nKNVCAz9,0.705,0.516,0,-5.77,1,0.12,0.583,0.0,0.078,0.422,115.74,4,81,3.3766666666666665,-0.4666175475540571,-0.4271499325705942,Alessia Cara
Somebody Else,Alessia Cara,In The Meantime,0O9ijXvoYpXDjqhaYZtA2X,0.718,0.721,4,-5.525,1,0.0429,0.019,0.0,0.144,0.963,108.07,4,81,3.5769,-0.7679332427947944,0.3244305148227733,Alessia Cara
Fishbowl,Alessia Cara,In The Meantime,0QZcEmktdpeCcwIHSfpAAM,0.793,0.75,11,-5.164,0,0.275,0.141,0.0,0.113,0.677,108.131,4,81,3.1449333333333334,-1.114573270128037,0.08389649118923045,Alessia Cara
Getaway Car,Taylor Swift,reputation,0VE4kBnHJUgtMf0dy6DRmW,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-06,0.0888,0.351,172.054,4,100,3.8937833333333334,0.4654264100657529,0.1592329657649573,Taylor Swift
Wild Thing,Jasmine Cephas-Jones,Wild Thing,0WBbVvdbsIV0RsYcVoLLwT,0.644,0.569,7,-8.403,0,0.046,0.141,0.16,0.0905,0.186,94.996,4,59,3.8608833333333332,2.136310778717249,0.0612431855645614,Other
Not Your Birthday,Allstar Weekend,All the Way,0X5p2uVpPIbHIMzyH7ky3V,0.683,0.943,7,-3.408,1,0.11,0.00553,0.0,0.0752,0.776,129.015,4,42,3.425333333333333,-2.885036340226587,0.17102476576220796,Other
Madness,Ruelle,Madness,0XVQTr58DZbLUcjacnTp8k,0.509,0.661,8,-4.334,0,0.0433,0.273,4.89e-05,0.076,0.421,142.889,3,67,3.519,-1.922875234015225,-0.22928983676122247,Other
Run Boy Run,Woodkid,The Golden Age,0boS4e6uXwp3zAvz1mLxZS,0.506,0.959,5,-5.264,0,0.102,0.084,0.000655,0.135,0.34,133.996,4,68,3.55445,-1.0197188564793387,0.06875234680441644,Other
Blackout,Anthony Ramos,In The Heights (Original Motion Picture Soundtrack),0e2SZBDwY2ods2rkb84nmW,0.611,0.749,7,-6.408,0,0.0698,0.0107,0.0,0.204,0.502,99.667,4,72,3.3353,0.12272439601725779,0.2132684035583629,Other
"Kingdom Dance - From ""Tangled""/Score",Alan Menken,Tangled,0jkGkwy510cvhy0jYPFme4,0.239,0.614,4,-9.819,1,0.0773,0.0904,0.403,0.129,0.47,155.658,3,64,2.3402166666666666,3.53479774400306,0.34822128447626677,Other
willow,Taylor Swift,evermore,0lx2cLdOt3piJbcaXIV74f,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,4,100,3.57845,2.9554361796329762,-0.3067739983788046,Taylor Swift
Out Of The Woods,Taylor Swift,1989,0qUnBLZ8bJqUNEeQgayL9t,0.553,0.841,7,-6.937,1,0.0396,0.000743,1.19e-05,0.341,0.338,92.008,4,100,3.93,0.649145703149789,0.22459055788534013,Taylor Swift
champagne problems,Taylor Swift,evermore,0sY6ZUTh4yoctD8VIXz339,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319,4,100,4.066666666666666,5.85563500753099,-0.36283986102297655,Taylor Swift
Boys Will Be Boys,Dua Lipa,Future Nostalgia,0vQcyuMEfRBd21ojZ62N2L,0.768,0.486,3,-5.954,1,0.0353,0.408,0.0,0.098,0.519,125.021,4,94,2.7711,-0.2942399937652786,-0.23661972008798127,Dua Lipa
All For Us - from the HBO Original Series Euphoria,Labrinth,All For Us,10hMM5nsZQf66ldBlgWBfG,0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,0.172,70.956,4,81,3.21645,0.8715168903832107,0.0912538706068955,Other
"I Choose - From The Netflix Original Film ""The Willoughbys""",Alessia Cara,I Choose,13QIjo2iGBgl56mNDjJOet,0.66,0.631,0,-6.464,1,0.0764,0.386,0.0,0.16,0.416,138.007,3,81,3.6224666666666665,0.20819854429524423,-0.17240970700341893,Alessia Cara
Drama Queen,Alessia Cara,In The Meantime,13RFBaODKzfZz3bSp9RmL6,0.798,0.46,0,-8.335,0,0.136,0.18,5.97e-06,0.0693,0.712,130.025,4,81,3.0229833333333334,2.062101007208195,0.20880999315064808,Alessia Cara
Dress,Charlotte Sands,Dress,19VgR6RNUxPlZdQm08CZIs,0.807,0.438,5,-9.596,1,0.182,0.028,0.0,0.454,0.793,114.994,4,59,2.3916666666666666,3.3092632508875637,0.4588639719629827,Other
Not Today,Alessia Cara,The Pains Of Growing,1BGIZCaDu29MK8DsykL7Hb,0.76,0.462,6,-6.04,1,0.123,0.0972,5.29e-06,0.0933,0.169,111.906,4,81,2.6091166666666665,-0.21546393527504812,-0.12812949513183083,Alessia Cara
I Love You Always Forever,Donna Lewis,Now in a Minute,1PEqh7awkpuepLBSq8ZwqD,0.744,0.453,5,-11.977,1,0.0348,0.627,0.421,0.0898,0.122,103.773,4,56,3.9993333333333334,5.733793574707634,-0.13650064914227655,Other
Lover,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,100,3.68845,1.332037302827254,-0.18974731168999281,Taylor Swift
I Love You Always Forever,Betty Who,I Love You Always Forever,1p6rk9R8SCum97WnvGNt6O,0.532,0.613,0,-7.64,1,0.0576,0.326,0.0,0.292,0.493,106.081,4,61,3.71595,1.3757638370278298,-0.005775816463624225,Other
